English,Pinglish,Farsi,Category,Difficulty
hello/hi,salām,سلام,Greetings,
Mrs./Miss,khānom,خانم,Greetings,
Mr.,āqā,آقا,Greetings,
Good morning,sob bekheīr,صبح بخیر,Greetings,
Good night,shab bekheīr,شب بخیر,Greetings,
Good bye,khodā hāfez,خداحافظ,Greetings,
How are you? (formal),hāle shomā chetor ast?,حال شما چطور است؟,Greetings,
How are you? (colloquial/familiar),hāle shomā chetore?,حال شما چطوره؟,Greetings,
Thank you,mercī,,Greetings,
Thank you,motshakeram,متشکرم,Greetings,
(and) how are you? (formal),shomā chetor hastīd?,شما چطور هستید؟,Greetings,
(and) how are you? (colloquial/familiar),shomā chetorīn?,شما چطورین؟,Greetings,
(and) how are you? (colloquial/familiar),to chetorī?,تو چطوری؟,Greetings,
"I am fine, too. (formal)",man ham khūb hastam,من هم خوب هستم,Greetings,
"I am fine, too. (colloquial/familiar)",manam khūbam,منم خوبم,Greetings,
Excuse me,bebakhshīd,ببخشید,Greetings,
I am John.,man jān hastam,من جان هستم,Introducing Yourself,
My name is John.,esm-e man jān ast.,اسم من جان است,Introducing Yourself,
What is your name? (formal),esm-e shomā chīst?,اسم شما چیست؟,Introducing Yourself,
What is your name? (colloquial),esm-e shomā chīye?,اسم شما چیه؟,Introducing Yourself,
Pleased to meet you.,khoshvaqtam,خوشوقتم,Introducing Yourself,
How old are you?,chand sāletone?,چند سالتونه؟,Introducing Yourself,
Where do you live?,kojā zendegī mīkonīd?,کجا زندگی می کنید؟,Introducing Yourself,
Where do you go to school?,kojā dars mīkonīd?,کجا درس می خوانید؟,Introducing Yourself,
What do you do for a living?,che kār mīkonīd? shoγletān chīst?,چه کار می کنید؟,Introducing Yourself,
What do you do for a living?,shoγletān chīst?,شغلتان چیست؟,Introducing Yourself,
college student,dāneshjo,دانشجو,Introducing Yourself,
professor,ostād,استاد,Introducing Yourself,
teacher,moalem,معلم,Introducing Yourself,
doctor,doktor,دکتر,Introducing Yourself,
engineer,mohandes,مهندس,Introducing Yourself,
dentist,dandānpezeshk,دندانپزشک,Introducing Yourself,
journalist,roznāme negār,روزنامه نگار,Introducing Yourself,
pre-college student,dānesh āmoz,دانش آموز,Introducing Yourself,
architect,memār/ārshītekt,معمار/آرشیتکت,Introducing Yourself,
lawyer,vakīl,وکیل,Introducing Yourself,
nurse,parastar,پرستار,Introducing Yourself,
to live,zendegī kardan,زندگی کردن,Introducing Yourself,
to introduce,moarefī kardan,معرفی کردن,Introducing Yourself,
to count,shomordan,شمردن,Introducing Yourself,
Zero,sefr,۰,Numbers 1-100,
One,yek,١,Numbers 1-100,
Two,do,۲,Numbers 1-100,
Three,se,۳,Numbers 1-100,
Four,chāhār,۴,Numbers 1-100,
Five,panj,۵,Numbers 1-100,
Six,shesh,۶,Numbers 1-100,
Seven,haft,۷,Numbers 1-100,
Eight,hasht,۸,Numbers 1-100,
Nine,noh,۹,Numbers 1-100,
Ten,dah,۱۰,Numbers 1-100,
Eleven,yāzdah,۱۱,Numbers 1-100,
Twelve,davāzdah,۱۲,Numbers 1-100,
Thirteen,sizdah,۱۳,Numbers 1-100,
Fourteen,chāhārdah,۱۴,Numbers 1-100,
Fifteen,pānzdah,۱۵,Numbers 1-100,
Sixteen,shānzdah,۱۶,Numbers 1-100,
Seventeen,hefdah/hevdah,۱۷,Numbers 1-100,
Eighteen,hejdah/hezhdah,۱۸,Numbers 1-100,
Nineteen,nūzdah,۱۹,Numbers 1-100,
Twenty,bist,۲۰,Numbers 1-100,
Twenty One,bisto yek,۲۱,Numbers 1-100,
Twenty Two,bisto do,۲۲,Numbers 1-100,
Twenty Three,bisto se,۲٣,Numbers 1-100,
Twenty Four,bisto chāhār,۲۴,Numbers 1-100,
Twenty Five,bisto panj,۲۵,Numbers 1-100,
Twenty Six,bisto shesh,۲۶,Numbers 1-100,
Twenty Seven,bisto haft,۲۷,Numbers 1-100,
Twenty Eight,bisto hash,۲٨,Numbers 1-100,
Twenty Nine,bisto noh,۲٩,Numbers 1-100,
Thirty,si,۳۰,Numbers 1-100,
Forty,chehel,٤۰,Numbers 1-100,
Fifty,panjāh,۵۰,Numbers 1-100,
Sixty,shast,۶۰,Numbers 1-100,
Seventy,haftād,۷۰,Numbers 1-100,
Eighty,hashtād,۸۰,Numbers 1-100,
Ninety,navad,۹۰,Numbers 1-100,
One Hundred,sad,١۰۰,Numbers 1-100,
One Hundred,sad,۱٠٠,Numbers 100-900,
One Hundred and Ten,sado dah,۱۱٠,Numbers 100-900,
One Hundred and Twenty,sado bīst,۱۲٠,Numbers 100-900,
One Hundred and Thirty,sado sī,۱٣٠,Numbers 100-900,
One Hundred and Forty,sado chehel,۱۴٠,Numbers 100-900,
One Hundred and Fifty,sado panjāh,۱۵٠,Numbers 100-900,
One Hundred and Sixty Five,sado shāsto panj,۱۶۵,Numbers 100-900,
Two Hundred,devīst,۲٠٠,Numbers 100-900,
Three Hundred,sīsad,٣٠٠,Numbers 100-900,
Four Hundred,chāhārsad,۴٠٠,Numbers 100-900,
Five Hundred,pānsad,۵٠٠,Numbers 100-900,
Six Hundred,sheshsad,۶٠٠,Numbers 100-900,
Seven Hundred,haftsad,۷٠٠,Numbers 100-900,
Eight Hundred,hashtsad,٨٠٠,Numbers 100-900,
Nine Hundred,nohsad,٩٠٠,Numbers 100-900,
father (formal) ,pedar,پدر,Family,
father (informal/familiar),bābā,بابا,Family,
mother (formal),mādar,مادر,Family,
mother (informal/familiar), māmān,مامان,Family,
child,kudak/farzand/bache,کودک/ فرزند/ بچّه,Family,
wife,zan/khānom,زن/ خانم,Family,
husband,shohar,شوهر,Family,
parents,pedar va mādar,پدر و مادر,Family,
"son
boy",pesar,پسر,Family,
"daughter
girl",dokhtar,دختر,Family,
brother,barādar,برادر,Family,
sister,khāhar,خواهر,Family,
grandfather,pedarbozorg,پدربزرگ,Family,
grandmother,mādarbozorg,مادربزرگ,Family,
paternal uncle,amū,عمو,Family,
maternal uncle,dāee,دایی,Family,
maternal aunt,khaleh,خاله,Family,
paternal aunt,ameh,عمه,Family,
nephew (brother's side),pesar-e barādar,پسرِبرادر,Family,
nephew (sister's side),pesar-e khāhar,پسرِخواهر,Family,
niece (brother's side),dokhtar-e barādar,دخترِبرادر,Family,
niece (sister's side),dokhtar-e khāhar,دخترِِخواهر,Family,
cousin (paternal uncle’s son) ,pesar amū,پسر عمو,Family,
cousin (paternal aunt’s daughter) c,dokhtar ameh,دختر عمه,Family,
cousin (maternal uncle’s son) ,pesar dāee,پسر دایی,Family,
cousin (maternal aunt’s daughter),dokhtar khaleh,دختر خاله,Family,
relative,khīšāvand,خویشاوند,Family,
fiancé,nāmzad,نامزد,Family,
step-father,nāpedarī,ناپدری,Family,
step-mother,nāmādarī,نامادری,Family,
father-in-law (husband's side),pedarshohar,پدرشو,Family,
father-in-law (wife's side),pedarzan,پدرهر,Family,
mother-in-law (husband's side),mādarshohar,مادرشو,Family,
mother-in-law (wife's side),mādarzan,مادرهر,Family,
friend,dūst,دوست,Family,
boy friend,dūst-e pesar,دوست پسر,Family,
girl friend,dūst-e dokhtar,دوست دختر,Family,
What is your favorite pastime?,sargarmī-e mored-e alāqe-ye shomā chīye?,سرگرمی مورد علاقه شما چیه؟,Personal Questions,
What is your telephone/cell phone number?,shomāre telephon/ telephon-e hamrāh-e shomā chande?,شماره تلفن/تلفن همراه شما چنده؟,Personal Questions,
What grade are you in?,kelās-e chandomī?,کلاس چندمی؟,Personal Questions,
How do you spell your last name?,fāmīl-e shomā rā chetorī mīnevīsand?,فامیل شما را چطوری می نویسند؟,Personal Questions,
How many siblings do you have?,chand tā khāhar vā barādar dārīd?,چند تا خواهر و برادر دارید؟,Personal Questions,
Where?,kojā?,کجا؟,Personal Questions,
When?,kay?,کِی؟,Personal Questions,
Who? What?,che kasī?/ kī che?,چه کسی؟/ کی؟ چه؟,Personal Questions,
How?,chegone?,چگونه؟,Personal Questions,
Which?,kodām?,کدام؟,Personal Questions,
Why?,cherā?,چرا؟,Personal Questions,
How many?,chand tā?,چند تا؟,Personal Questions,
to listen,gosh dādan,گوش دادن,Pastimes,
music,mūzīk,موزیک,Pastimes,
to sing,āvāz khādan,آواز خواندن,Pastimes,
to dance,raqsīdan,رقصیدن,Pastimes,
to read,khāndan/motale’ kardan,خواندن/مطالعه کردن,Pastimes,
to study,dars khāndan,درس خواندن,Pastimes,
to stay at home,dar khane māndan,در خانه ماندن,Pastimes,
to like,dūst dāshtan,دوست داشتن,Pastimes,
to watch television,televīzyon tamāshā kardan,تلویزیون تماشا کردن,Pastimes,
to telephone,telefon zadan/ telefon kardan,تلفن زدن/ تلفن کردن,Pastimes,
to speak,sohbat kardan/ harf zadan,صحبت کردن/ حرف زدن,Pastimes,
to play sports,varzesh kardan,ورزش کردن,Pastimes,
tennis,tenīs,تنیس,Pastimes,
soccer,fotbāl,فوتبال,Pastimes,
basketball,basketbāl,بسکتبال,Pastimes,
volleyball,vālībāl,والیبال,Pastimes,
to play the guitar,gītār zadan,گیتار زدن,Pastimes,
piano,pīyāno,پیانو,Pastimes,
violin,vīyolon,ویولُن,Pastimes,
dulcimer,santūr,سنتور,Pastimes,
to swim,shenā kardan,شنا کردن,Pastimes,
to work,kār kardan,کار کردن,Pastimes,
to travel,safar kardan/ mosāferat kardan,سفرکردن/ مسافرت کردن,Pastimes,
walking,pīyāderavī,پیاده روی,Pastimes,
boating,qāyeqrānī,قایق رانی,Pastimes,
gardening,bāqbānī,باغبانی,Pastimes,
to introduce,moarefī kardan,معرفی کردن,Pastimes,
Where were you born?,kojā bedonyā ūmadīd?,کجا بدنیا آمدید؟,Continents and Countries,
North America,āmrīkāy-e shomālī,آمریکای شمالی,Continents and Countries,
Canada,kānādā,کانادا,Continents and Countries,
United States,āmrīkā,آمریکا,Continents and Countries,
Mexico,mekzīk,مکزیک,Continents and Countries,
Africa,āfrīqā,آفریقا,Continents and Countries,
Algeria,aljazīre,الجزیره,Continents and Countries,
Egypt,mesr,مصر,Continents and Countries,
South Africa,āfrīqāy-e jonobī,آفریقای جنوبی,Continents and Countries,
Morocco,marākesh,مراکش,Continents and Countries,
South America,āmrīkāy-e jonobī,آمریکای جنوبی,Continents and Countries,
Brazil,berezīl,برزیل,Continents and Countries,
Peru,perū,پرو,Continents and Countries,
Argentina,ārzhāntīn,آرژانتین,Continents and Countries,
Europe,orūpā,اروپا,Continents and Countries,
England,engelīs/engelestān,انگلیس/انگلستان,Continents and Countries,
France,belzhīk,فرانسه,Continents and Countries,
Belgium,belzhīk,بلژیک,Continents and Countries,
Italy,ītālīyā,ایتالیا,Continents and Countries,
Germany,ālmān,آلمان,Continents and Countries,
Spain,espānīyā,اسپانیا,Continents and Countries,
Switzerland,sūīs,سویس,Continents and Countries,
Asia,āsīyā,آسیا,Continents and Countries,
China,chīn,چین,Continents and Countries,
Japan,zhāpon,ژاپن,Continents and Countries,
India,hend/hendostān,هند/هندوستان,Continents and Countries,
Afghanistan,afghānestān,افغانستان,Continents and Countries,
Turkey,torkīye,ترکیه,Continents and Countries,
Tajikistan,tājīkestān,تاجیکستان,Continents and Countries,
Pakistan,pākestān,پاکستان,Continents and Countries,
Oceania,oqyānūsīye,اقیانوسیه,Continents and Countries,
Australia,ostorālīyā,استرالیا,Continents and Countries,
Where are you from?,ahl-e kojāīd?,اهل کجایید؟/کجایی هستید؟,Nationalities and Languages,
What is the French people’s language?,zabān-e mardom-e farānse chīst?,زبان مردم فرانسه چیست؟,Nationalities and Languages,
French,farānsavī,فرانسوی,Nationalities and Languages,
Iranian,īrānī,ایرانی ,Nationalities and Languages,
Farsi,fārsī,فارسی,Nationalities and Languages,
American,āmrīkāī,آمریکایی ,Nationalities and Languages,
(American or British) English,englīsī,انگلیسی,Nationalities and Languages,
Italian,ītālīyāī,ایتالیایی,Nationalities and Languages,
German,ālmānī,آلمانی,Nationalities and Languages,
British,englīsī,انگلیسی,Nationalities and Languages,
Spanish (origin),espānīyaī,اسپانیای,Nationalities and Languages,
Spanish (language),espānyolī,اسپانیولی,Nationalities and Languages,
Japanese,zhāponī,ژاپنی,Nationalities and Languages,
Arab,arab,عرب ,Nationalities and Languages,
Arabic,arabī,عربی,Nationalities and Languages,
Indian,hendī,هندی,Nationalities and Languages,
Turkish (origin),tork,ترک ,Nationalities and Languages,
Turkish (language),torkī,ترکی,Nationalities and Languages,
Egyptian (origin),mesrī,مصری,Nationalities and Languages,
Chinese,chīnī,چینی,Nationalities and Languages,
Pakistani,pākestānī,پاکستانی,Nationalities and Languages,
Urdu,ordū,اردو,Nationalities and Languages,
Afghan (origin),afghānī,افغانی,Nationalities and Languages,
Dari,darī,دری,Nationalities and Languages,
Russian,rūsī,روسی,Nationalities and Languages,
Yellow,zard,زرد,Colors,
White,sefīd,سفید,Colors,
Pink,sūratī,صورتی,Colors,
Red,qermez,قرمز,Colors,
Orange,nāranjī,نارنجی,Colors,
Green,sabz,سبز,Colors,
Blue,ābī,آبی,Colors,
Violet,banafsh,بنفش,Colors,
Silver,noqreī,نقره ای,Colors,
Brown,qahveī,قهوه ای,Colors,
Gold,talāī,طلایی,Colors,
Black,sīyāh/meshkī,سیاه یا مشکی,Colors,
Grey,khākestarī,خاکستری,Colors,
mango,anbe,انبه,Fruits,
pomegranate,anār,انار,Fruits,
pineapple,ānānās,آناناس,Fruits,
sour cherry,ālbālū,آلبالو,Fruits,
raspberry,tameshk,تمشک,Fruits,
orange,porteqāl,پرتقال,Fruits,
quīnce,beh,به,Fruits,
grape,angūr,انگور,Fruits,
apricot,zardālū,زردآلو,Fruits,
melon,kharboze,خربزه,Fruits,
strawberry,tūtfarangī,توت فرنگی,Fruits,
"berry, mulberry",tūt,توت,Fruits,
nectarine,shalīl,شلیل,Fruits,
blackberry,shāhtūt,شاه توت,Fruits,
apple,sīb,سیب,Fruits,
barberry,zereshk,زرشک,Fruits,
banana,moz,موز,Fruits,
cherry,gīlās,گیلاس,Fruits,
plum,ālū,آلو,Fruits,
pear,golābī,گلابی,Fruits,
watermelon,hendavāne,هندوانه,Fruits,
peach,holū,هلو,Fruits,
tangerine,nārangī,نارنگی,Fruits,
onion,pīyāz,پیاز,Vegetables & Herbs,
pennyroyal,pone,پونه,Vegetables & Herbs,
eggplant,bādemjān,بادمجان,Vegetables & Herbs,
spinach,esfanāj,اسفناج,Vegetables & Herbs,
parsley,jafarī,جعفری,Vegetables & Herbs,
tarragon,tarkhān,ترخان,Vegetables & Herbs,
radish,torobche,تربچه,Vegetables & Herbs,
green onion,pīyāzche,پیازچه,Vegetables & Herbs,
basil,reyhān,ریحان,Vegetables & Herbs,
corn,zorrat or balal,ذرّت,Vegetables & Herbs,
cucumber,khīyār,خیار,Vegetables & Herbs,
beet,choghondar,چغندر,Vegetables & Herbs,
turnip,shevīd,شوید,Vegetables & Herbs,
garlic,sīr,سیر,Vegetables & Herbs,
potato,sībzamīnī,سیب زمینی,Vegetables & Herbs,
lettuce,kāhū,کاهو,Vegetables & Herbs,
mushroom,qārch,قارچ,Vegetables & Herbs,
bell pepper,felfeldolmeī,فلفل دلمه ایی,Vegetables & Herbs,
pepper,felfel,فلفل,Vegetables & Herbs,
cabbage,kalam,کلم,Vegetables & Herbs,
celery,karafs,کرفس,Vegetables & Herbs,
pumpkin,kadūtanbal,کدو تنبل,Vegetables & Herbs,
"zucchini, squash",kadū,کدو,Vegetables & Herbs,
green bean,lūbīyāsabz,لوبیا سبز,Vegetables & Herbs,
tomato,gojefarangī,گوجه فرنگی,Vegetables & Herbs,
cauliflower,golkalam,گل کلم,Vegetables & Herbs,
coriander,geshnīz,گشنیز,Vegetables & Herbs,
mint,nanā,نعناع,Vegetables & Herbs,
"peas, snow peas",nokhodfarangī,نخود فرنگی,Vegetables & Herbs,
asparagus,mārchūbe,مارچوبه,Vegetables & Herbs,
"lemon, lime",līmū,لیمو,Vegetables & Herbs,
carrot,havīj,هویج,Vegetables & Herbs,
,,,Processed Foods,